Key,Value
3 mobile telecom pte ltd,"['3 MOBILE TELECOM PTE. LTD.', '3 MOBILE TELECOM PTE. LTD.']"
a menarini asia pacific pte ltd,['A. MENARINI ASIA-PACIFIC HOLDINGS PTE. LTD.']
adeka singapore pte ltd,['ADEKA (SINGAPORE) PTE. LTD.']
adm asia pacific trading pte ltd,"['ADM ASIA-PACIFIC TRADING PTE. LTD.', 'ADM ASIA-PACIFIC TRADING PTE. LTD.']"
arrow electronics asia s pte ltd,['ARROW ELECTRONICS ASIA (S) PTE. LTD.']
delfi ltd,"['DELFI LIMITED', 'DELFI LTD.']"
food empire ltd,"['FOOD EMPIRE HOLDINGS LTD.', 'FOOD EMPIRE HOLDINGS LIMITED']"
hanwell ltd,"['HANWELL HOLDINGS LIMITED', 'HANWELL HOLDINGS LTD.']"
hempel singapore pte ltd,['HEMPEL (SINGAPORE) PTE. LTD.']
hewlett packard asia pacific pte ltd,['HEWLETT-PACKARD ASIA PACIFIC PTE. LTD.']
hosen group ltd,"['HOSEN GROUP LIMITED', 'HOSEN GROUP LTD.']"
msc machinery company ltd,['MSC MACHINERY COMPANY LIMITED']
c c machinery ltd,['C & C MACHINERY LIMITED']
jc machinery sdn bhd,['JC MACHINERY SDN. BHD.']
bhumyamca sekawan,"['PT. Bhumyamca Sekawan', 'BHUMYAMCA SEKAWAN,PT']"
pura barutama,['PT PURA BARUTAMA']
chanua e c pte ltd,['Chanua E&C Pte Ltd']
chanua singapore pte ltd,['Chanua(Singapore) Pte Ltd']
chanua 2000 pte ltd,"['Chanua(2000) Pte Ltd', 'Chanua 2000 Pte Ltd']"
chanua 2001 pte ltd,['Chanua 2001 Pte Ltd']
jay machinery pte ltd,['JAY MACHINERY PTE LTD']
